datetime,latitude,longitude,speed,elevation,heartrate,cadence,stride_length
2022-10-08 21:30:07+00:00,19.641769845038652,-155.99632889963686,3.49,-9.199999999999989,159,85.0,
2022-10-08 21:30:08+00:00,19.64179415255785,-155.99630207754672,3.49,-9.0,159,85.0,
2022-10-08 21:30:09+00:00,19.641816364601254,-155.99627676419914,3.49,-8.800000000000011,160,37.0,
2022-10-08 21:30:10+00:00,19.64182927273214,-155.99624164402485,3.527,-8.399999999999977,159,58.0,
2022-10-08 21:30:11+00:00,19.641834804788232,-155.9961999859661,3.546,-8.199999999999989,158,74.0,
2022-10-08 21:30:12+00:00,19.641834804788232,-155.99615874700248,3.62,-8.0,160,81.0,
2022-10-08 21:30:13+00:00,19.641830194741488,-155.99611826241016,3.63,-7.600000000000023,160,84.0,
2022-10-08 21:30:14+00:00,19.641808904707432,-155.99608439952135,3.63,-7.600000000000023,160,87.0,
2022-10-08 21:30:15+00:00,19.641780154779553,-155.9960564877838,3.648,-7.399999999999977,159,87.0,
2022-10-08 21:30:16+00:00,19.641753835603595,-155.9960248041898,3.658,-7.199999999999989,160,87.0,
2022-10-08 21:30:17+00:00,19.641727851703763,-155.9959933720529,3.695,-7.0,160,87.0,
2022-10-08 21:30:18+00:00,19.641702119261026,-155.99595699459314,3.742,-7.0,161,87.0,1.325
2022-10-08 21:30:19+00:00,19.641675045713782,-155.99591768346727,3.779,-6.800000000000011,160,86.0,1.341
2022-10-08 21:30:20+00:00,19.641646547243,-155.99587585777044,3.826,-6.800000000000011,160,86.0,1.346
2022-10-08 21:30:21+00:00,19.64161586947739,-155.9958336967975,3.882,-6.800000000000011,160,86.0,1.355
2022-10-08 21:30:22+00:00,19.6415860299021,-155.99579798988998,3.947,-6.800000000000011,160,87.0,1.388
2022-10-08 21:30:23+00:00,19.641558369621634,-155.99576337262988,3.994,-6.600000000000023,161,87.0,1.472
2022-10-08 21:30:24+00:00,19.641535989940166,-155.9957229718566,4.04,-6.600000000000023,160,86.0,1.49
2022-10-08 21:30:25+00:00,19.641507994383574,-155.99568240344524,4.096,-6.600000000000023,160,86.0,1.484
2022-10-08 21:30:26+00:00,19.64147706516087,-155.9956450201571,4.152,-6.600000000000023,161,86.0,1.484
2022-10-08 21:30:27+00:00,19.64145108126104,-155.99560730159283,4.208,-6.600000000000023,161,87.0,1.487
2022-10-08 21:30:28+00:00,19.641424594447017,-155.99557151086628,4.255,-6.600000000000023,162,87.0,1.621
2022-10-08 21:30:29+00:00,19.641397604718804,-155.99553194828331,4.301,-6.600000000000023,161,86.0,1.563
2022-10-08 21:30:30+00:00,19.641370279714465,-155.99549691192806,4.348,-6.399999999999977,160,87.0,1.571
2022-10-08 21:30:31+00:00,19.641344295814633,-155.99546656943858,4.385,-6.199999999999989,161,87.0,1.585
2022-10-08 21:30:32+00:00,19.641318898648024,-155.99543270654976,4.432,-6.199999999999989,161,86.0,1.628
2022-10-08 21:30:33+00:00,19.641294591128826,-155.99539456889033,4.451,-6.199999999999989,161,86.0,1.626
2022-10-08 21:30:34+00:00,19.641271708533168,-155.99535752087831,4.497,-6.0,161,86.0,1.632
2022-10-08 21:30:35+00:00,19.641251089051366,-155.99532064050436,4.535,-6.0,160,86.0,1.621
2022-10-08 21:30:36+00:00,19.641231559216976,-155.9952824190259,4.535,-6.0,160,86.0,1.616
2022-10-08 21:30:37+00:00,19.641213789582253,-155.99524369463325,4.535,-6.0,160,86.0,1.617
2022-10-08 21:30:38+00:00,19.641192834824324,-155.99520212039351,4.535,-6.0,162,86.0,1.623
2022-10-08 21:30:39+00:00,19.641173724085093,-155.995158450678,4.535,-6.0,161,86.0,1.625
2022-10-08 21:30:40+00:00,19.641155619174242,-155.9951137751341,4.553,-6.0,160,86.0,1.617
2022-10-08 21:30:41+00:00,19.641135837882757,-155.99507094360888,4.591,-6.0,160,86.0,1.625
2022-10-08 21:30:42+00:00,19.64111991226673,-155.99502584896982,4.628,-6.0,160,86.0,1.649
2022-10-08 21:30:43+00:00,19.641101891174912,-155.99498310126364,4.656,-6.0,160,86.0,1.656
2022-10-08 21:30:44+00:00,19.641082026064396,-155.99493926391006,4.675,-6.0,160,86.0,1.656
2022-10-08 21:30:45+00:00,19.641063837334514,-155.99489634856582,4.74,-6.0,159,85.0,1.676
2022-10-08 21:30:46+00:00,19.64104598388076,-155.99485645070672,4.777,-6.0,159,85.0,1.698
2022-10-08 21:30:47+00:00,19.6410299744457,-155.99481428973377,4.777,-6.0,160,85.0,1.709
2022-10-08 21:30:48+00:00,19.64101388119161,-155.99477246403694,4.787,-6.0,159,85.0,1.695
2022-10-08 21:30:49+00:00,19.641002314165235,-155.99472879432142,4.805,-6.0,159,86.0,1.68
2022-10-08 21:30:50+00:00,19.640987645834684,-155.99468529224396,4.805,-6.0,160,86.0,1.688
2022-10-08 21:30:51+00:00,19.640973983332515,-155.99464002996683,4.777,-6.0,159,85.0,1.696
2022-10-08 21:30:52+00:00,19.640963757410645,-155.9945984557271,4.777,-6.0,159,86.0,1.687
2022-10-08 21:30:53+00:00,19.640955375507474,-155.9945577196777,4.805,-6.0,159,86.0,1.685
2022-10-08 21:30:54+00:00,19.640943808481097,-155.99451933056116,4.824,-5.800000000000011,159,85.0,1.689
2022-10-08 21:30:55+00:00,19.64093316346407,-155.9944758284837,4.871,-5.800000000000011,160,85.0,1.689
2022-10-08 21:30:56+00:00,19.64092335663736,-155.9944298118353,4.899,-5.800000000000011,159,85.0,1.693
2022-10-08 21:30:57+00:00,19.640914723277092,-155.994384130463,4.927,-5.600000000000023,159,85.0,1.697
2022-10-08 21:30:58+00:00,19.640909107401967,-155.99434012547135,4.955,-5.600000000000023,159,85.0,1.702
2022-10-08 21:30:59+00:00,19.640902988612652,-155.99429712630808,4.973,-5.600000000000023,159,85.0,1.712
2022-10-08 21:31:00+00:00,19.640896450728178,-155.9942527860403,4.973,-5.600000000000023,160,85.0,1.713
2022-10-08 21:31:01+00:00,19.640890415757895,-155.99420894868672,4.983,-5.600000000000023,159,85.0,1.726
2022-10-08 21:31:02+00:00,19.64088723063469,-155.99416703917086,4.983,-5.399999999999977,159,85.0,1.72
2022-10-08 21:31:03+00:00,19.640884967520833,-155.9941269736737,4.983,-5.399999999999977,159,86.0,1.709
2022-10-08 21:31:04+00:00,19.640878178179264,-155.9940852317959,4.973,-5.399999999999977,159,86.0,1.705
2022-10-08 21:31:05+00:00,19.640870885923505,-155.99404566921294,4.945,-5.399999999999977,159,86.0,1.699
2022-10-08 21:31:06+00:00,19.640868119895458,-155.99400367587805,4.936,-5.199999999999989,158,85.0,1.688
2022-10-08 21:31:07+00:00,19.640864515677094,-155.9939623530954,4.927,-5.199999999999989,158,85.0,1.676
2022-10-08 21:31:08+00:00,19.640859318897128,-155.9939200244844,4.917,-5.199999999999989,158,85.0,1.67
2022-10-08 21:31:09+00:00,19.640853283926845,-155.99387710914016,4.908,-5.199999999999989,158,85.0,1.672
2022-10-08 21:31:10+00:00,19.640846410766244,-155.99383595399559,4.908,-5.0,158,85.0,1.672
2022-10-08 21:31:11+00:00,19.64083886705339,-155.9937953017652,4.908,-5.0,158,85.0,1.668
2022-10-08 21:31:12+00:00,19.640833837911487,-155.99375288933516,4.908,-5.0,157,85.0,1.673
2022-10-08 21:31:13+00:00,19.640828892588615,-155.99371215328574,4.908,-5.0,157,85.0,1.676
2022-10-08 21:31:14+00:00,19.64082134887576,-155.99367032758892,4.908,-5.0,158,85.0,1.676
2022-10-08 21:31:15+00:00,19.640816990286112,-155.99362707696855,4.899,-4.800000000000011,158,85.0,1.651
2022-10-08 21:31:16+00:00,19.64081003330648,-155.9935844130814,4.824,-4.800000000000011,157,86.0,1.646
2022-10-08 21:31:17+00:00,19.640799555927515,-155.9935420844704,4.749,-4.800000000000011,157,85.0,1.649
2022-10-08 21:31:18+00:00,19.640792682766914,-155.9935008455068,4.721,-4.800000000000011,158,85.0,1.637
2022-10-08 21:31:19+00:00,19.640787318348885,-155.99345893599093,4.656,-4.800000000000011,158,86.0,1.556
2022-10-08 21:31:20+00:00,19.64078119955957,-155.99341652356088,4.609,-4.800000000000011,157,86.0,1.591
2022-10-08 21:31:21+00:00,19.64077482931316,-155.9933726862073,4.609,-4.800000000000011,157,86.0,1.603
